ticker,cluster,price,shares,dollar_allocation,actual_weight,target_weight,hrp,equal_weight,rebalance_date,primary_method
BKR,1,64.81999969482422,382,24761.23988342285,0.09984816417043589,0.1,0.10327144283436093,0.1,2026-08-17,markowitz_gmv
WDAY,2,198.67999267578125,125,24834.999084472656,0.10014559357422079,0.1,0.08378303096637896,0.1,2026-08-17,markowitz_gmv
GEHC,3,73.69000244140625,337,24833.530822753906,0.10013967289989958,0.1,0.07831228884029198,0.1,2026-08-17,markowitz_gmv
ALNY,4,228.64999389648438,108,24694.199340820312,0.09957782734015726,0.1,0.09134710538249916,0.1,2026-08-17,markowitz_gmv
LRCX,5,332.3599853515625,74,24594.638916015625,0.09917635610173871,0.1,0.0657611862407874,0.1,2026-08-17,markowitz_gmv
COST,6,961.0999755859375,26,24988.599365234375,0.10076497718030542,0.1,0.12918143216218378,0.1,2026-08-17,markowitz_gmv
XEL,7,79.16999816894531,313,24780.209426879883,0.09992465767796029,0.1,0.15564187438538213,0.1,2026-08-17,markowitz_gmv
REGN,8,803.47998046875,31,24907.87939453125,0.10043947890459128,0.1,0.07908824319356339,0.1,2026-08-17,markowitz_gmv
PEP,9,140.7899932861328,176,24779.038818359375,0.09991993727170094,0.1,0.1260926960113488,0.1,2026-08-17,markowitz_gmv
MNST,10,46.81999969482422,530,24814.599838256836,0.10006333487898986,0.1,0.08752069998320346,0.1,2026-08-17,markowitz_gmv
